Company,Job Title,Salary,Location,Experience,Start Date,End Date
미아실버데이케어센터,미아실버데이케어센터 조리원 채용 공고,(월급)220만원,서울 강북구,경력 무관,25.09.24,25.10.10
여흥복지센터,재가 요양보호사채용,(시급)10030원,경기 여주시,경력 무관,25.09.24,25.11.17
여흥복지센터,재가 요양보호사채용,(시급)10030원,경기 여주시,경력 무관,25.09.24,25.11.17
우리택스강남본점 학사부동산중개,[세무사사무실] 세무기장 채용 공고,(연봉)3000만원,서울 강남구,경력 3년0월,25.09.24,25.11.23
승인산업주식회사,[ 시티오씨엘1단지 ] 아파트 주차장청소 미화원 모집,(월급)180만원,인천 미추홀구,경력 무관,25.09.24,25.10.08
한사랑노인복지센터,[연희동] 요양보호사 채용,(시급)12700원,서울 서대문구,경력 무관,25.09.24,25.10.23
(주)하이퍼텍,생산(자재) 관리 채용,(월급)217만원,경기 평택시,경력 무관,25.09.24,25.10.22
케어닥 방문요양돌봄센터 상도파트너점,60년생 여자 4등급 투석 어르신 (상도에스에이치빌 202동),(시급)10030원,서울 동작구,경력 무관,25.09.24,25.10.10
해솔재가복지센터,？？ 재가센터 사회복지사 구인(단시간),(시급)10030원,경기 시흥시,경력 무관,25.09.24,25.11.23
주식회사 카네이션토탈케어,방문목욕(차량) 요양보호사 선생님초빙,(시급)17000원,인천 미추홀구,경력 무관,25.09.24,25.10.08
서일개발(주),상지카일룸블랙-시설주임 구인,(월급)330만원,서울 강남구,경력 1년0월,25.09.24,25.10.08
주식회사 드림피플파트너스,[화성시 장안면 ] 감리단 사무보조 모집,(월급)210만원,경기 화성시,경력 무관,25.09.24,25.11.23
무궁채요양원,(주)피우스무궁채요양원에서 함께 근무하실 요양보호사를 구인합니다.(주주야야비비),(월급)234만원,인천 남동구,경력 0년3월,25.09.24,25.10.18
무지개어린이집,보육교사 채용,(월급)224만원,경기 군포시,경력 2년0월,25.09.24,25.10.11
어르신사랑재가케어복지센터,덕양구 관산동 주공아파트 요양보호사님 구인,(시급)12800원,경기 고양시,경력 무관,25.09.24,25.11.23
주찬상사(주),상품 입출고 담당,(연봉)3600만원,경기 안산시,경력 무관,25.09.24,25.11.23
동영전기공업(주),소형모터 생산직 모집,(월급)250만원,인천 남동구,경력 무관,25.09.24,25.10.12
어울림방문요양센터,"(도봉구 도봉동) 방문목욕 남자분 지원바랍니다. 주2~3회 1시간씩 시급 20,000원.",(시급)10030원,서울 도봉구,경력 무관,25.09.24,25.10.07
가평꽃동네지적장애인시설,꽃동네 은총의집 언어재활사(언어치료사) 모집,(연봉)3060만원,경기 가평군,경력 무관,25.09.24,25.10.12
맑은물방문요양복지센터,요양보호사 구인,(시급)10030원,서울 구로구,경력 무관,25.09.24,25.10.31
(주)세종산업,레미콘 품질관리실장 정규직 채용공고,(연봉)5500만원,경기 여주시,경력 10년0월,25.09.24,25.10.31
